ID,Symbol,SMILES,MolWt
388,Sub92,CN[C@H](C=O)[C@@H](C)O,117.14799999999998
389,Sub93,CN1C[C@H](O)C[C@H]1C=O,129.159
390,Sub94,C[C@H]1CN(C)[C@H](C=O)[C@H]1O,143.18599999999998
391,Sub95,CN[C@H](C=O)CCCCN,144.218
98,Phg,CN[C@H](C=O)c1ccccc1,149.19299999999998
123,F,CN[C@H](C=O)Cc1ccccc1,163.22
392,Sub96,CN[C@@H](C=O)Cc1c[nH]c2ccccc12,202.257
393,Sub97,CN1C[C@H](OC(=O)NCCN)C[C@H]1C=O,215.25299999999996
394,Sub98,CN[C@H](C=O)[C@H](O)[C@@H](O)c1ccc(O)cc1,225.244
395,Sub99,CN[C@H](C=O)Cc1ccc(OCc2ccccc2)cc1,269.344
396,Sub100,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H](C=O)C[C@@H](O)[C@@H](O)NC)cc3)cc2)cc1,504.6270000000001
