ID,SMILES,washed,%C,apol,arorings,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nNO,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,RBC,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
388,O=C[C@@](NC)[C@](O)C,O=C[C@@](NC)[C@](O)C,52.651608,18.838722,0,1,1,0,0,3,0,0,0,19,2,5,8,4,29.047234,1.5288018,0,0,5,0,0,11,0,1,3,2,0,0,3.3757982,-2.5809405,-0.39268172,0.50710082,2.5758796,-2.7834966,-0.41641507,0.45849255,2.4459167,-2.3342786,-0.31355426,0.57151902,2.8117669,13.643277,3,0.42857143,0,18,1,7,2,3,0.42857143,17,0,6.5689139,5.0875125,3.7320509,3.8618073,3.718744,2.5265932,1.2440169,1.3189319,2,0,0.72300136,4,0,-0.83357686,-0.30373839,0.062602714,2.1428416,-1.1544032,-0.36979878,-0.00844174,2.0381823,-0.52021366,-0.1863084,0.11311718,2.3599355,4.8490973,5.0024285,3.0406353,-0.50343013,-0.22489418,-0.13150682,0,0.68985677,3.0566807,0.47348395,14,7.0461063,1.9971882,0.38242385,8,3.9375,2.8125,7.054143,3.4012969,2.3859844,2.9991543,3,2,1,0,-0.45699999,0.4853,3.1261349,1,1,0,1,0,3,0,0,0,1.0498165,-1.0498165,0.19988957,0.37158659,25.592316,16.581661,31.389282,0,10.324173,0,0,41.986366,0,0,0,0,13.566921,7.9044313,0.78421056,0.43067396,0.14572147,0.21578942,0.56932604,0.07006795,115.54963,63.457718,21.471352,31.795525,83.887436,10.324173,0.5,1,0,0,0,0,1,0,0,0,1,0,147.34515,0,0,0,147.34515,0,2,3,1,0,0,0,1,-0.8459,43.395977,0,54.458054,0,0,32.897186,0,0,0,33.326015,3.0592501,23.862217,25.385227,18.01075,10.450618,0,0,0,86.368423,49.330002,0.75787848,3.8073549,1.9766004,5.6625204,147.34515,162.03012,13.566921,0,0,0,78.465981,22.058474,32.816418,117.14799,67,8,30
389,O=C[C@]1N(C)C[C@](O)C1,O=C[C@]1N(C)C[C@](O)C1,78.989532,20.598722,0,1,1,0,0,3,0,0,0,20,1,4,9,5,30.875038,1.543752,0,0,6,0,0,11,0,1,3,2,0,0,2.3878584,-2.5161998,-0.38108197,0.40403715,2.7301824,-2.6458416,-0.40889019,0.35903189,2.6316204,-2.246455,-0.25876421,0.47869933,2.9755461,14.963277,1,0.11111111,0,20,1,9,1,1,0.11111111,19,0,6.8533711,5.4489398,4.1462646,4.276021,4.236382,3.0736196,1.5580782,1.6329932,2,0,0.7415303,5,0,-0.84623033,-0.33119908,0.018322328,2.3464494,-0.97406805,-0.3655059,-0.017933346,2.2695777,-0.52497768,-0.1826752,0.078989983,2.568815,4.922442,4.7044864,3.5114105,-0.53461909,-0.43235853,-0.25229442,0,0.68985045,3.3412354,0.2101047,14,7.5751338,1.6721251,0.14060836,7.1111112,2.7222223,1.4693878,6.368185,2.400368,1.2763928,1.6984432,3,1,1,0,-0.44,0.33094999,3.3871567,1,1,5,1,1,2,0,0,0,0.99885297,-0.99885297,0.21007383,0.39090741,43.050026,16.581661,22.770269,0,10.324173,0,0,31.940002,0,0,0,0,13.566921,7.7675405,0.78316092,0.3648921,0.14612585,0.21683908,0.63510787,0.070713222,114.34196,53.274464,21.334461,31.658634,92.726128,10.324173,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,146.0006,0,0,0,146.0006,0,3,1,1,1,0,0,0.11111111,-0.74970001,25.385227,3.1243138,54.458054,18.439579,0,32.897186,0,0,18.868406,0,3.31058,23.862217,28.509541,0,10.450618,0,18.868406,18.439579,53.042408,40.540001,0.7642045,4.1699252,2.0674851,6.016407,146.0006,174.179,13.566921,0,0,0,85.165535,22.058474,27.133842,129.159,85,9,42
390,O=C[C@]1N(C)C[C@](C)[C@@]1O,O=C[C@]1N(C)C[C@](C)[C@@]1O,73.331619,23.692308,0,1,1,0,0,3,0,0,0,23,1,4,10,6,34.284725,1.4906402,0,0,7,0,0,13,0,1,3,2,0,0,2.5585568,-2.5688989,-0.33969837,0.35105997,2.7701066,-2.680455,-0.33003739,0.34302235,2.6769767,-2.3403578,-0.21417043,0.42955238,3.0129032,17.149691,1,0.1,0,23,1,10,1,1,0.1,22,0,7.7236147,6.3191833,5.0165076,5.1462646,4.6639023,3.5011399,1.9855986,2.0605135,3,0,0.72094715,5,0,-0.8475486,-0.32650402,-0.011227615,2.4641743,-0.97810441,-0.33248347,-0.018027317,2.3952212,-0.53088796,-0.1697844,0.054658864,2.6842208,4.8926983,4.7777042,3.5152407,-0.30090538,-0.16645367,-0.50627965,0,0.68985879,3.7956223,0.26668379,14,7.4392948,1.7859179,0.18491736,8.1000004,2.9387755,1.3827161,7.3419299,2.6317501,1.2260586,1.9322125,3,1,1,0,-0.082000002,0.12918,3.8359678,1,1,5,1,1,2,0,0,0,1.0565571,-1.0565571,0.1986376,0.36865827,51.580799,16.581661,22.770269,0,10.324173,0,0,23.238689,18.747677,0,0,0,13.566921,7.7675405,0.80763721,0.38474724,0.12963152,0.1923628,0.61525273,0.062731288,132.9191,63.320827,21.334461,31.658634,101.2569,10.324173,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,164.57773,0,0,0,164.57773,0,3,1,1,1,0,0,1,-0.50370002,25.385227,3.1243138,54.458054,18.439579,4.4107962,32.897186,0,0,0,33.326015,3.76528,23.862217,28.509541,4.4107962,10.450618,0,0,18.439579,86.368423,40.540001,0.72192812,4.321928,2.0634208,6.3502398,164.57773,198.60817,13.566921,0,0,0,100.97403,22.058474,27.133842,143.186,110,13,48
391,O=C[C@@](NC)CCCCN,O=C[C@@]([N+]C)CCCC[N+],74.569389,27.324274,0,1,0,0,1,1,0,0,2,28,0,1,10,6,37.895802,1.3534216,0,0,7,0,0,18,0,2,3,1,0,0,3.0953326,-2.6691444,-0.14456306,0.34699699,2.6872609,-3.3970602,-0.061082162,0.2142,2.659709,-2.4733212,0.036130909,0.1057,2.8817432,19.315725,6,0.66666669,0,27,1,9,5,6,0.66666669,26,0,7.8199911,6.6758332,4.9831276,5.112884,4.846065,3.8879676,2.2415817,2.3164966,1,0,0.65048879,7,2,-0.86567587,-0.19376244,0.18493448,2.4617753,-2.2479942,-0.1811752,0.054200001,2.3630836,-0.64230376,-0.09939485,-0.054299999,2.6099613,1.483911,42.625721,10.970711,-3.4628539,-8.7815638,4.5626135,0,0.68989801,4.2871218,1.7455002,7.4675345,14,1.7737975,0.17493865,10,7.1111112,5.5308642,9.0641108,6.368185,4.9042344,5.7721939,3,5,1,0,0.185,0.36208001,4.2975807,1,1,0,1,0,6,0,0,0,3.0437794,-1.0437794,0.11400201,0.34576631,34.293629,57.757942,11.676732,18.504883,0,0,43.095066,17.402626,0,0,0,0,13.566921,1.1054343,0.70736337,0.16248459,0.074326821,0.29263663,0.83751541,0.21830982,139.63582,32.074982,14.672356,57.767422,165.32825,43.095066,0.42857143,0.75,0,0,0,0,1,0,0,0,1,0,197.40323,0,0,0,197.40323,0,4,6,1,0,0,0,0,-1.8407,50.90794,0,47.989407,18.439579,0,32.897186,0,0,56.605217,0,3.9307499,23.862217,18.01075,32.897186,3.9819686,0,56.605217,18.439579,53.042408,61.32,0.68007702,4.1699252,2.6729841,6.2751899,197.40323,224.80634,13.566921,0,23.425066,23.425066,108.32401,22.058474,36.991985,146.23399,145,9,36
98,O=C[C@@](NC)c1ccccc1,O=C[C@@](NC)c1ccccc1,54.000256,25.076723,1,1,1,0,0,2,0,6,0,22,1,3,11,8,31.524424,1.4329283,0,0,9,0,0,11,0,1,2,1,0,0,2.3291821,-2.4680495,-0.60917985,0.65193278,2.4237964,-2.5845387,-0.53807992,0.7041167,2.4392238,-2.1787918,-0.46948352,0.78594124,2.706835,13.643277,3,0.27272728,6,22,1,11,2,3,0.27272728,15,0,8.1044483,6.4497004,5.5414519,6.3973413,5.3805399,3.5570695,2.532692,3.5580783,1,0,0.67931277,6,0,-0.83322197,-0.38956439,0.079423979,2.2003503,-1.1204641,-0.26386139,0.16445385,2.2795708,-0.49639484,-0.21605732,0.18038841,2.4810653,3.5676141,3.9818079,3.2758155,1.2570355,1.5245796,-1.80275,0,3.7548079,4.4263368,0.45999745,14,7.0696406,1.9936026,0.3673456,9.090909,4.7928996,2.5,6.5231295,3.3107662,1.6685418,1.9633234,2,1,1,0,1.563,-1.15793,4.5875001,1,1,6,1,1,3,0,0,0,0.94215649,-0.94215649,0.15024546,0.32551491,12.796158,28.738277,31.389282,0,0,0,0,25.447229,61.274521,0,0,0,13.566921,0.13689101,0.92094684,0.57932496,0.079053178,0.079053178,0.42067507,0,159.64546,100.42556,13.703812,13.703812,72.923714,0,0.5,1,0,0,0,0,1,0,0,0,1,0,173.34927,0,0,0,173.34927,0,3,3,1,1,0,0,1,1.2415,18.01075,0,44.007435,0,3.185575,32.897186,0,88.215919,3.9819686,0,4.4417701,23.862217,0,18.01075,7.1675434,0,88.215919,0,53.042408,29.1,0.68403846,4.4594316,2.4178281,6.6044712,173.34927,219.62343,13.566921,0,0,0,121.85002,22.058474,19.249496,149.19299,158,13,48
123,O=C[C@@](NC)Cc1ccccc1,O=C[C@@]([N+]C)Cc1ccccc1,63.678326,28.837103,1,1,0,0,1,1,0,6,1,26,0,1,12,9,35.689182,1.3726609,0,0,10,0,0,14,0,1,2,1,0,0,2.2010844,-2.5805638,-0.51269937,0.65634191,2.6110973,-3.3993833,-0.49706036,0.65726411,2.4172473,-2.3952141,-0.42623073,0.72323459,2.7977602,16.262897,4,0.33333334,6,26,1,12,3,4,0.33333334,19,0,8.8115549,7.2341571,6.2485585,7.1044478,5.8637033,4.1522045,3.0058186,4.0412416,1,0,0.66237801,7,1,-0.86401558,-0.34136462,0.12883984,2.3814738,-2.2476516,-0.24976398,0.13635555,2.332473,-0.63573152,-0.20405337,0.1647255,2.5904641,1.4794683,21.189337,8.5918665,1.2821771,-2.1724751,0.327957,0,3.754854,4.9656439,0.63678324,7.2438259,14,1.9256172,0.26906461,10.083333,5.6122451,3.515625,7.4624853,4.0270343,2.4615855,2.504307,2,2,1,0,1.651,-1.1950099,5.0934019,1,1,6,1,1,4,0,0,0,1.9804077,-0.98040777,0.17521878,0.34980813,17.232086,57.361778,11.676732,18.504883,0,0,17.238026,2.2085397,61.274521,0,0,0,13.566921,0,0.84525067,0.38706234,0.068153739,0.15474936,0.61293763,0.086595617,168.25854,77.04998,13.566921,30.804947,122.0135,17.238026,0.42857143,0.75,0,0,0,0,1,0,0,0,1,0,199.06349,0,0,0,199.06349,0,4,4,1,1,0,0,0,-0.01023,18.01075,0,47.989407,0,3.185575,51.765594,0,88.215919,0,0,4.78474,23.862217,18.01075,0,7.1675434,0,107.08433,0,53.042408,33.68,0.65002245,4.5849624,2.6552029,6.8411775,199.06349,247.93697,13.566921,0,5.6825762,5.6825762,137.65852,22.058474,19.249496,164.228,214,13,52
392,O=C[C@](NC)Cc1c2c([nH]c1)cccc2,O=C[C@]([N+]C)Cc1c2c([nH]c1)cccc2,72.948227,34.123894,2,1,0,0,1,1,0,9,1,30,1,2,15,11,43.583809,1.4527936,0,0,12,0,0,15,0,2,3,1,0,0,1.8832458,-2.5753837,-0.51070541,0.63159698,2.6140077,-3.3993351,-0.48028001,0.67918652,2.4460392,-2.3932612,-0.41845077,0.73808181,2.803618,18.016106,4,0.25,10,31,1,16,3,4,0.25,20,0,10.673362,8.7341576,7.2485585,8.2591486,7.3468666,5.1462216,3.4611604,4.6161566,1,0,0.69306386,8,1,-0.86534745,-0.33929288,0.16223003,2.4948657,-2.2476585,-0.2618283,0.13669883,2.5070097,-0.63572836,-0.19903611,0.16753262,2.7427032,1.4807214,23.353228,8.324172,1.2495927,-2.0702543,-0.15256533,0,5.3082604,6.0752621,0.72948229,7.430819,14,1.7927901,0.1880424,11.484375,5.3650794,2.5714285,8.2204742,3.7390726,1.7530622,2.04913,3,3,1,0,2.017,-1.48491,6.14047,1,1,10,1,2,4,0,0,0,2.2252789,-1.2252787,0.1559376,0.29410812,42.886093,57.361778,11.676732,27.123898,0,0,17.238026,14.463444,36.764713,0,0,0,13.566921,0.13689101,0.86012995,0.29351962,0.061946955,0.13987003,0.70648038,0.077923082,190.27666,64.931969,13.703812,30.941837,156.28653,17.238026,0.5,1,0,0,0,0,1,0,0,0,1,0,221.21849,0,0,0,221.21849,0,4,4,1,2,0,0,0.46666667,0.47106999,18.01075,0,64.774933,0,3.185575,51.765594,0,92.504196,0,0,5.9704099,23.862217,18.01075,16.78553,7.1675434,4.7171016,106.6555,0,53.042408,49.470001,0.59002918,5,2.8061838,7.5068669,221.21849,293.28467,13.566921,0,5.6825762,11.365152,151.05762,22.058474,24.932074,203.265,371,20,74
393,O=C(O[C@]1CN(C)[C@](C=O)C1)NCCN,O=C(O[C@]1CN(C)[C@](C=O)C1)NCC[N+],95.101822,33.548275,0,1,0,0,1,3,0,0,1,33,1,4,15,7,53.367256,1.6171895,0,0,9,0,0,18,0,3,6,3,0,0,2.2268877,-2.5353575,-0.29010448,0.4216395,2.7406688,-3.3008354,-0.21116214,0.36992332,2.6403584,-2.3309627,-0.10535857,0.31209415,2.9824917,24.829725,4,0.26666668,0,33,2,15,2,6,0.40000001,31,0,11.259149,8.9395428,6.0604777,6.2675848,7.1682339,5.0629249,2.0580783,2.1329932,2,0,0.75714386,10,1,-0.85895705,-0.34402105,0.15858231,2.5085437,-2.2347894,-0.31674588,0.085377023,2.410713,-0.64158177,-0.14847335,0.020387542,2.7199192,6.2841563,30.661686,8.6910801,-2.539335,-6.0172043,2.2996531,0,1.9325686,5.6302962,1.0054979,8.6474409,8.5482616,1.2611835,0.029940641,13.066667,6.5540166,4.1652894,11.069859,5.4815774,3.4472597,4.0453525,6,4,1,0,-1.123,0.21205001,5.5463343,1,1,5,1,1,5,0,0,0,2.8256049,-1.825605,0.12781683,0.19693033,43.050026,60.027855,22.770269,8.6190128,0,0,45.056549,31.940002,0,0,0,13.566921,16.070677,1.2423253,0.68665785,0.25921836,0.12742205,0.31334212,0.74078161,0.18592009,166.40717,62.819927,30.879923,75.93647,179.52371,45.056549,0.5,1,0,0,0,0,1,0,0,0,1,0,242.34364,0,0,0,242.34364,0,5,4,1,1,0,0,0.46666667,-1.7739,50.90794,10.44095,65.457939,55.318733,0,32.897186,0,0,18.868406,23.862217,5.3125801,58.724319,3.1243138,50.90794,10.450618,0,18.868406,62.635372,53.042408,86.279999,0.56650949,4.9068904,3.0570307,7.4754486,242.34364,285.62735,27.133842,0,17.742489,23.425066,125.76454,43.761742,50.558907,216.261,417,17,68
394,O=C[C@@](NC)[C@](O)[C@@](O)c1ccc(O)cc1,O=C[C@@](NC)[C@](O)[C@@](O)c1ccc(O)cc1,79.241341,33.669895,1,0,0,2,3,5,0,6,0,31,4,9,16,10,48.922977,1.5781606,0,0,11,0,0,15,0,1,5,4,0,0,2.470747,-2.5943227,-0.64263934,0.70326817,2.6243317,-2.7907927,-0.59987491,0.61528534,2.5419393,-2.3558064,-0.49986199,0.85431087,2.8487749,18.016106,5,0.3125,6,31,1,16,4,5,0.3125,24,0,12.129392,8.8686914,6.6188021,7.4222851,7.5957541,4.8744245,3.1100423,4.0412416,3,0,0.76600987,9,0,-0.83361697,-0.39268747,0.12529483,2.4489253,-1.1544572,-0.39348945,0.12426157,2.4625244,-0.51751351,-0.24112114,0.19305076,2.6897781,6.9192019,9.8030949,4.4662528,0.17469998,0.27385321,-1.0987191,0,3.9421744,5.9005575,0.20156039,9.4819393,7.589385,1.6989219,0.13871087,14.0625,6.6666665,3.7692308,11.292948,5.2689695,2.9434359,3.7188873,5,4,1,0,0.109,-0.39089999,5.9237852,1,1,6,1,1,5,0,0,0,1.9407423,-1.9407423,0.11197431,0.19936432,12.796158,41.462181,41.199139,0,30.972517,0,0,49.957035,24.509808,0,0,0,13.566921,23.439512,0.71425802,0.46856555,0.15555243,0.28574198,0.53143448,0.13018954,169.92433,111.47327,37.006432,67.978951,126.43,30.972517,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,237.90327,0,0,0,237.90327,0,5,5,1,1,0,0,1,-0.33109999,94.166428,0,54.458054,0,3.185575,32.897186,0,70.572739,6.4686494,5.2434282,5.8096099,23.862217,76.155678,18.01075,25.34827,0,70.572739,0,53.042408,89.790001,0.54356444,5,2.9351063,7.6971555,237.90327,294.04843,13.566921,0,0,0,131.41708,22.058474,59.95026,225.24399,456,23,74
395,O=C[C@@](NC)Cc1ccc(OCc2ccccc2)cc1,O=C[C@@]([N+]C)Cc1ccc(OCc2ccccc2)cc1,64.405876,45.959862,2,1,0,0,1,2,0,12,1,40,0,2,20,16,54.951694,1.3737923,0,0,17,0,0,20,0,1,3,2,0,0,1.5921391,-2.5806062,-0.55812103,0.69179994,2.6115034,-3.3993824,-0.53807992,0.6815899,2.4716499,-2.3952725,-0.44246459,0.73002851,2.7986276,24.73814,7,0.33333334,12,41,1,21,3,7,0.33333334,28,0,14.208896,11.658914,10.265066,11.794683,9.8131933,6.8199244,5.1807394,7.0824828,1,0,0.67927396,13,1,-0.86399692,-0.38175538,0.082524829,2.5018783,-2.2476575,-0.26386139,0.13845161,2.5465918,-0.63573313,-0.21605732,0.16729334,2.7376876,2.4279315,23.435448,10.837918,2.8081186,-0.63547003,-1.4457146,0,7.0070667,8.0837946,0.64405882,7.2575474,14,1.9175476,0.26229176,16.371881,9.1065092,5.7315297,12.084268,6.6049752,4.1040206,3.9908142,3,2,1,0,3.395,-3.0132899,8.2392101,1,1,12,1,2,7,0,0,0,2.5123296,-1.5123296,0.13812067,0.2267724,17.232086,106.36391,11.676732,18.504883,0,0,17.238026,28.926888,85.784325,0,0,0,13.566921,2.503756,0.88963228,0.43334314,0.053249862,0.11036772,0.56665683,0.05711785,268.48883,130.78189,16.070677,33.308704,171.01564,17.238026,0.46153846,0.85714287,0,0,0,0,1,0,0,0,1,0,301.79752,0,0,0,301.79752,0,7,7,1,2,0,0,0.34999999,1.83517,29.010639,0,47.989407,0,6.37115,51.765594,0,158.78867,0,26.169687,7.8826399,23.862217,29.010639,0,15.596547,0,198.58333,0,53.042408,42.91,0.48464775,5.3923173,3.5017674,8.2907677,301.79752,398.0014,16.070677,0,5.6825762,5.6825762,233.61803,22.058474,21.753254,270.35199,990,25,94
