mol,cid,Energy,Relative energy,mol_charged,ASA,ASA+,ASA-,ASA_H,ASA_P,CASA+,CASA-,DASA,DCASA,dens,dipole,E,E_ang,E_ele,E_nb,E_oop,E_sol,E_stb,E_str,E_strain,E_tor,E_vdw,FASA+,FASA-,FASA_H,FASA_P,FCASA+,FCASA-,glob,npr1,npr2,pmi,pmi1,pmi2,pmi3,rgyr,std_dim1,std_dim2,std_dim3,vol,VSA,vsurf_A,vsurf_CP,vsurf_CW1,vsurf_CW2,vsurf_CW3,vsurf_CW4,vsurf_CW5,vsurf_CW6,vsurf_CW7,vsurf_CW8,vsurf_D1,vsurf_D2,vsurf_D3,vsurf_D4,vsurf_D5,vsurf_D6,vsurf_D7,vsurf_D8,vsurf_DD12,vsurf_DD13,vsurf_DD23,vsurf_DW12,vsurf_DW13,vsurf_DW23,vsurf_EDmin1,vsurf_EDmin2,vsurf_EDmin3,vsurf_EWmin1,vsurf_EWmin2,vsurf_EWmin3,vsurf_G,vsurf_HB1,vsurf_HB2,vsurf_HB3,vsurf_HB4,vsurf_HB5,vsurf_HB6,vsurf_HB7,vsurf_HB8,vsurf_HL1,vsurf_HL2,vsurf_ID1,vsurf_ID2,vsurf_ID3,vsurf_ID4,vsurf_ID5,vsurf_ID6,vsurf_ID7,vsurf_ID8,vsurf_IW1,vsurf_IW2,vsurf_IW3,vsurf_IW4,vsurf_IW5,vsurf_IW6,vsurf_IW7,vsurf_IW8,vsurf_R,vsurf_S,vsurf_V,vsurf_W1,vsurf_W2,vsurf_W3,vsurf_W4,vsurf_W5,vsurf_W6,vsurf_W7,vsurf_W8,vsurf_Wp1,vsurf_Wp2,vsurf_Wp3,vsurf_Wp4,vsurf_Wp5,vsurf_Wp6,vsurf_Wp7,vsurf_Wp8
O=C[C@@](NC)[C@](O)C,171,10.615376,0.0,O=C[C@@](NC)[C@](O)C,303.54352,234.7511,68.792412,174.29601,129.24751,561.05511,164.41386,165.95869,396.64127,0.9437905,0.3635087,49.376091,0.90467888,36.148781,37.77317,0.001903853,-14.583709,0,3.4744213,8.5508623,7.2219172,1.624387,0.77336884,0.22663113,0.57420433,0.42579564,1.8483516,0.54164839,0.21938834,0.56444687,0.66892892,476.5621,240.88556,285.47473,426.76392,2.016937,1.8038477,1.2567639,0.84490258,124.125,158.17706,2.9105799,0.08164195,3.0288532,2.1682143,1.5573055,0.9036575,0.47918707,0.19871597,0.061383344,0.005818527,246.25,137.5,115.25,102.0,79.125,40.5,11.125,3.5,1.4142135,2.1213202,0.70710677,0.5,0.5,0.70710677,-1.8241867,-1.8208203,-1.819463,-6.6776395,-6.5093713,-6.37678,1.1789671,230.75,273.25,198.125,89.5,37.625,14.25,4.5,0.375,0.36876357,0.15073529,1.3400251,1.4695663,1.6480062,1.7442482,1.9772261,1.9179256,2.7943335,3.5975735,0.46718323,0.98275626,1.1771381,1.3024037,1.5301161,2.1684072,3.0848973,3.4071703,1.1870475,261.15216,310.0,661.375,424.0,244.125,104.0,42.5,15.375,4.5,0.375,430.625,150.75,46.0,14.5,4.875,1.125,0.0,0.0
O=C[C@@](NC)[C@](O)C,18,10.659376,0.044000376,O=C[C@@](NC)[C@](O)C,306.86264,241.99699,64.865639,183.29903,123.56361,578.3728,155.02888,177.13135,423.3439,0.95924664,1.240322,55.789761,0.82855695,43.773708,45.778702,0.000383958,-20.803905,0,3.5437336,13.084528,5.6383815,2.0049949,0.78861666,0.21138333,0.59733248,0.40266749,1.8847939,0.50520617,0.230602,0.51672572,0.69903183,454.85455,212.14871,286.99695,410.56345,1.9704655,1.8067883,1.2396955,0.86763853,122.125,158.23384,3.9806504,0.097540513,2.9842265,2.0645421,1.2561001,0.77641708,0.44960278,0.23777047,0.12511918,0.056114975,294.5,166.375,133.125,117.125,97.25,58.375,23.5,7.625,0.5,0.70710677,0.5,0.5,0.70710677,1.118034,-1.7818233,-1.7763519,-1.7336173,-8.9898977,-8.5927248,-8.4771719,1.15918,193.5,215.5,160.125,82.125,40.75,20.375,10.5,3.875,0.33708921,0.1814301,1.5922221,1.5251735,1.5420235,1.6417799,1.839269,2.0755103,2.8956802,3.257462,0.50054914,1.3801408,2.0542831,2.2927408,2.5656743,2.7767909,3.1321769,3.2100883,1.2100626,257.94119,312.125,623.75,367.5,201.25,94.25,44.875,21.25,10.5,3.875,430.25,152.0,41.125,12.125,4.125,0.875,0.0,0.0
O=C[C@@](NC)[C@](O)C,142,10.659376,0.044000376,O=C[C@@](NC)[C@](O)C,302.18399,239.83492,62.34906,182.92447,119.25951,573.20544,149.01425,177.48587,424.19122,0.96022952,1.240293,55.760605,0.83090788,43.761505,45.763988,0.000401322,-20.798706,0,3.5271862,13.055375,5.6381226,2.0024853,0.79367185,0.20632814,0.60534137,0.3946586,1.8968757,0.49312425,0.23059388,0.5167762,0.69903558,454.91132,212.1907,287.02725,410.60464,1.9705884,1.8068627,1.2398244,0.86765891,122.0,159.59578,3.9772294,0.097646832,2.9843755,2.0643311,1.2555915,0.77604342,0.4494954,0.23766282,0.12505825,0.056077924,294.375,166.25,133.25,117.25,97.375,58.5,23.5,7.625,0.5,0.70710677,0.5,0.5,0.70710677,1.118034,-1.7814186,-1.7758838,-1.7330431,-8.9891911,-8.5912342,-8.4765329,1.1589726,193.625,215.25,159.875,82.25,40.75,20.375,10.5,3.875,0.33677298,0.18123667,1.5926557,1.5261183,1.5395792,1.6393011,1.8390344,2.0784228,2.8956132,3.2574928,0.50084323,1.3799103,2.0568991,2.2933114,2.5654547,2.7766764,3.1320047,3.2098629,1.2104408,257.9639,312.25,623.875,367.125,201.0,94.375,44.875,21.25,10.5,3.875,430.25,151.875,41.125,12.125,4.125,0.875,0.0,0.0
O=C[C@@](NC)[C@](O)C,105,10.659376,0.044000376,O=C[C@@](NC)[C@](O)C,306.40665,242.45992,63.946747,184.73961,121.66705,579.47919,152.83272,178.51317,426.64645,0.95826584,1.2404512,55.793934,0.82741719,43.786091,45.796761,0.000229052,-20.804501,0,3.532836,13.088701,5.6366906,2.0106685,0.79130107,0.20869894,0.60292298,0.39707702,1.8912095,0.49879047,0.23058292,0.5166871,0.69899988,454.84494,212.13513,286.98691,410.56787,1.9704447,1.8068144,1.2396135,0.8676151,122.25,158.37189,3.9634888,0.097726673,2.9850821,2.0649302,1.2559023,0.78069752,0.45149049,0.23468271,0.1218546,0.05678536,297.5,162.875,129.25,114.875,96.5,58.0,22.875,7.625,6.1644139,5.937171,0.5,0.5,0.5,1.0,-1.7824856,-1.7708451,-1.761281,-9.0672827,-8.4549541,-8.4121046,1.1661029,191.125,217.875,161.125,83.125,41.0,20.375,10.375,4.0,0.34622824,0.18389554,1.5551829,1.5191662,1.5665184,1.6335739,1.8561968,2.1291187,2.9240382,3.3172171,0.48598975,1.3629347,2.0322008,2.2929652,2.5345917,2.8113995,3.1548648,3.1886084,1.19982,258.1637,309.75,625.125,368.0,201.875,95.5,44.75,21.125,10.375,4.0,434.0,150.125,40.75,12.375,3.75,0.75,0.0,0.0
O=C[C@@](NC)[C@](O)C,54,10.659376,0.044000376,O=C[C@@](NC)[C@](O)C,305.32986,241.76662,63.563229,182.83617,122.49368,577.8222,151.91611,178.2034,425.90613,0.95924664,1.2402735,55.788006,0.8278212,43.783951,45.794018,0.000495313,-20.80414,0,3.5253444,13.082772,5.6403265,2.010067,0.79182112,0.20817888,0.59881526,0.40118474,1.8924525,0.49754754,0.23059112,0.51672113,0.69902909,454.83105,212.13655,286.9819,410.54361,1.9704146,1.806743,1.2396604,0.86759633,122.125,158.03621,4.0110312,0.095731951,2.9949524,2.0751259,1.2598482,0.77782035,0.45260969,0.23036355,0.12579633,0.054330915,293.0,166.375,130.5,117.0,97.875,58.125,24.75,7.875,5.7662811,0.5,6.041523,0.5,0.5,0.70710677,-1.7604213,-1.7514571,-1.7445565,-9.4770498,-8.800168,-8.762846,1.163414,188.5,215.375,162.625,82.75,41.875,19.75,10.125,4.5,0.34865901,0.17521368,1.57242,1.5271485,1.6050756,1.6949979,1.8819326,2.1154799,2.9059727,3.2595398,0.51098132,1.3803443,2.0476718,2.3212421,2.5356812,2.844352,3.0756114,3.3366129,1.2014596,257.08313,308.875,623.25,367.25,201.875,94.75,45.5,20.5,10.125,4.5,434.75,151.875,39.25,12.0,3.625,0.75,0.0,0.0
O=C[C@@](NC)[C@](O)C,110,10.659376,0.044000376,O=C[C@@](NC)[C@](O)C,306.15692,243.1221,63.034821,184.1255,122.03142,581.06183,150.65321,180.08728,430.4086,0.95924664,1.2405908,55.730461,0.82100922,43.763905,45.761082,0.000315435,-20.798153,0,3.5104344,13.02523,5.6376204,1.9971778,0.79410946,0.20589055,0.6014089,0.39859107,1.8979216,0.49207842,0.23054248,0.51667929,0.69897866,454.9252,212.17213,287.03256,410.64569,1.9706185,1.8068883,1.2397223,0.86757457,122.125,157.46765,4.0137339,0.095715716,2.9951494,2.0746727,1.2597574,0.77792895,0.45265001,0.23038058,0.12577699,0.054315887,292.875,166.375,130.5,117.125,98.0,58.125,24.625,7.75,5.7662811,0.5,6.041523,0.5,0.5,0.70710677,-1.7602613,-1.751809,-1.7443011,-9.4726887,-8.7908106,-8.7605324,1.1635077,188.75,215.625,162.875,82.75,41.75,19.75,10.125,4.5,0.34865901,0.17502668,1.5715215,1.529388,1.6084704,1.701586,1.8862433,2.1152625,2.907053,3.2596121,0.51156443,1.3798215,2.0492454,2.3213601,2.535876,2.8446343,3.0758665,3.3367679,1.2013628,257.10385,308.875,623.25,367.375,201.875,94.75,45.5,20.5,10.125,4.5,434.5,151.75,39.0,12.0,3.75,0.75,0.0,0.0
O=C[C@@](NC)[C@](O)C,89,10.659376,0.044000376,O=C[C@@](NC)[C@](O)C,306.44275,243.35585,63.086899,185.37651,121.06623,581.62048,150.77769,180.26895,430.84277,0.95924664,1.240873,55.721863,0.82541347,43.773266,45.774025,0.000254261,-20.8085,0,3.482866,13.016631,5.6393027,2.000762,0.79413152,0.20586847,0.60493034,0.39506966,1.8979744,0.49202564,0.23051919,0.51671469,0.6990338,454.94385,212.18668,287.05527,410.64572,1.9706589,1.8069506,1.2397794,0.86756057,122.125,157.50815,3.9678574,0.09784504,2.9848142,2.0649116,1.2555056,0.7805196,0.4513391,0.23585795,0.12178681,0.056758974,297.75,162.875,129.375,115.0,96.625,58.125,23.0,7.625,6.1644139,5.937171,0.5,0.5,0.5,1.0,-1.7825251,-1.7709643,-1.7612588,-9.0754604,-8.4557753,-8.4099121,1.1649563,190.75,217.75,161.125,83.0,40.875,20.5,10.375,3.75,0.34492755,0.18478261,1.554744,1.5191972,1.5642971,1.6314508,1.8478153,2.1283679,2.9250085,3.317327,0.48775443,1.3637503,2.0316315,2.2926481,2.5413918,2.8006997,3.1548018,3.1756094,1.2016467,258.18735,310.25,625.0,367.875,201.875,95.375,44.625,21.25,10.375,3.75,434.25,150.125,40.75,12.375,3.75,0.75,0.0,0.0
O=C[C@@](NC)[C@](O)C,88,10.659376,0.04400038,O=C[C@@](NC)[C@](O)C,304.63211,241.48935,63.142746,183.50273,121.12936,577.15955,150.91116,178.3466,426.24838,0.96022952,1.240889,55.637867,0.81319332,43.754646,45.754101,0.000363709,-20.798395,0,3.430707,15.645624,5.639503,1.9994556,0.79272455,0.20727542,0.60237491,0.39762506,1.8946117,0.49538827,0.23053887,0.51675004,0.69906723,454.93756,212.19168,287.05612,410.62735,1.9706453,1.8067899,1.2396766,0.86752051,122.0,157.58926,4.0128317,0.095542677,2.9949265,2.0747674,1.2597896,0.77783966,0.45260864,0.23039214,0.12573263,0.054280568,292.5,166.125,130.25,116.75,97.625,58.125,24.625,7.75,5.7662811,0.5,6.041523,0.5,0.5,0.70710677,-1.7596153,-1.7519522,-1.7440591,-9.4741964,-8.7916098,-8.7593946,1.1634883,188.25,215.625,162.875,82.875,41.75,19.75,10.125,4.5,0.34932822,0.17558886,1.5711403,1.5281094,1.6063573,1.696661,1.8832167,2.1150401,2.9067662,3.2592857,0.51345366,1.3801553,2.0480874,2.3211327,2.5362322,2.8449583,3.0762193,3.3371787,1.201383,257.09955,308.875,622.75,367.375,201.875,94.875,45.5,20.5,10.125,4.5,434.5,151.75,39.0,12.0,3.75,0.75,0.0,0.0
O=C[C@@](NC)[C@](O)C,156,10.659376,0.04400038,O=C[C@@](NC)[C@](O)C,306.33133,243.94534,62.38599,185.89014,120.44119,583.02936,149.10251,181.55936,433.92685,0.96022952,1.2412152,55.695328,0.81521529,43.771877,45.773632,0.000172507,-20.807852,0,3.4672325,12.990095,5.6390753,2.0017545,0.79634476,0.20365527,0.60682702,0.39317295,1.9032639,0.48673609,0.23059078,0.51676452,0.69915414,454.87808,212.16017,287.04114,410.55484,1.9705164,1.8068388,1.2396911,0.86764163,122.0,157.25406,3.9624081,0.097543456,2.9863901,2.0654855,1.2554364,0.77960771,0.45312721,0.23618992,0.12190747,0.05681403,297.375,162.875,129.375,115.0,96.875,58.375,23.125,7.625,6.1644139,5.937171,0.5,0.5,0.5,1.0,-1.782509,-1.7705467,-1.7611903,-9.0787649,-8.4604082,-8.4073048,1.1651992,191.25,217.875,161.5,83.25,41.0,20.5,10.375,3.875,0.34589371,0.18478261,1.5563169,1.5198822,1.5650864,1.6292051,1.8470874,2.1302133,2.9236295,3.3176832,0.48686099,1.3635061,2.0306237,2.2899199,2.5366318,2.800245,3.1543584,3.1918793,1.2007506,257.96362,309.75,625.25,368.25,202.125,95.625,44.75,21.25,10.375,3.875,434.0,150.375,40.625,12.375,3.75,0.75,0.0,0.0
O=C[C@@](NC)[C@](O)C,71,10.694758,0.079382993,O=C[C@@](NC)[C@](O)C,303.62857,231.48927,72.13929,177.79837,125.83019,553.25934,172.4129,159.34998,380.84644,0.94952786,0.5262115,50.927959,0.97385335,37.780445,39.311958,0.001741256,-15.632699,0,3.5116346,10.102732,7.1287699,1.531515,0.76240939,0.2375906,0.58557856,0.41442147,1.8221585,0.56784153,0.2325182,0.57188421,0.67170757,475.41119,242.36151,284.66614,423.79474,2.0144999,1.7509488,1.2911752,0.84430999,123.375,158.19099,2.9421382,0.079820544,3.0463202,2.2467771,1.6369712,0.92825174,0.45999315,0.16468835,0.048280276,0.020344893,243.625,134.25,111.25,92.875,74.25,37.375,10.75,2.875,0.70710677,2.8284271,2.1213202,0.5,0.5,0.70710677,-1.8591558,-1.8110442,-1.8068702,-7.6725097,-7.3011727,-7.2667599,1.1776273,244.875,289.75,202.75,90.25,35.125,11.875,3.5,1.25,0.36404493,0.13862719,1.3691691,1.5068769,1.7212372,2.0017636,2.2826929,2.4648125,3.1079144,3.668915,0.46466932,0.97108114,1.1735607,1.2619362,1.4421895,2.0365717,3.4957786,3.4324796,1.1871188,260.2941,309.0,669.0,436.625,249.125,104.75,40.5,12.875,3.5,1.25,424.125,146.875,46.375,14.5,5.375,1.0,0.0,0.0
