mol,mol_charged,ASA,ASA+,ASA-,ASA_H,ASA_P,CASA+,CASA-,DASA,DCASA,dens,dipole,E,E_ang,E_ele,E_nb,E_oop,E_sol,E_stb,E_str,E_strain,E_tor,E_vdw,FASA+,FASA-,FASA_H,FASA_P,FCASA+,FCASA-,glob,npr1,npr2,pmi,pmi1,pmi2,pmi3,rgyr,std_dim1,std_dim2,std_dim3,vol,VSA,vsurf_A,vsurf_CP,vsurf_CW1,vsurf_CW2,vsurf_CW3,vsurf_CW4,vsurf_CW5,vsurf_CW6,vsurf_CW7,vsurf_CW8,vsurf_D1,vsurf_D2,vsurf_D3,vsurf_D4,vsurf_D5,vsurf_D6,vsurf_D7,vsurf_D8,vsurf_DD12,vsurf_DD13,vsurf_DD23,vsurf_DW12,vsurf_DW13,vsurf_DW23,vsurf_EDmin1,vsurf_EDmin2,vsurf_EDmin3,vsurf_EWmin1,vsurf_EWmin2,vsurf_EWmin3,vsurf_G,vsurf_HB1,vsurf_HB2,vsurf_HB3,vsurf_HB4,vsurf_HB5,vsurf_HB6,vsurf_HB7,vsurf_HB8,vsurf_HL1,vsurf_HL2,vsurf_ID1,vsurf_ID2,vsurf_ID3,vsurf_ID4,vsurf_ID5,vsurf_ID6,vsurf_ID7,vsurf_ID8,vsurf_IW1,vsurf_IW2,vsurf_IW3,vsurf_IW4,vsurf_IW5,vsurf_IW6,vsurf_IW7,vsurf_IW8,vsurf_R,vsurf_S,vsurf_V,vsurf_W1,vsurf_W2,vsurf_W3,vsurf_W4,vsurf_W5,vsurf_W6,vsurf_W7,vsurf_W8,vsurf_Wp1,vsurf_Wp2,vsurf_Wp3,vsurf_Wp4,vsurf_Wp5,vsurf_Wp6,vsurf_Wp7,vsurf_Wp8
O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,1444.2218,942.64825,488.28302,913.80121,530.42065,18549.432,9608.9219,454.3652,8940.5107,1.0647871,4.772099,393.13699,49.154797,109.3601,116.37062,1.8566481,-175.91444,0,62.837364,161.84375,162.91759,7.0105233,0.65270323,0.3380942,0.63272911,0.36727089,12.843894,6.6533556,0.044477087,0.14843273,0.94812548,87346.164,12367.918,79001.023,83323.383,8.7522783,8.8668928,2.9132867,1.8699914,1070.875,1157.3936,9.7353144,0.029864438,2.4137084,2.0624642,1.3359338,0.77608758,0.48192385,0.27620074,0.15980701,0.083847694,1729.25,1022,757.375,634.75,541.875,424.125,287.75,142,0.70710677,0.70710677,1.2247449,0.5,0.70710677,0.5,-3.1583629,-3.1582983,-3.0613821,-9.4182358,-9.0218401,-8.9964275,1.6454167,541.75,701.5,691.875,392,211,122.625,69.5,32.5,0.35864004,0.2235132,5.1431437,5.4012904,5.9030075,6.5699987,7.1316004,6.8972101,6.4580264,6.2641644,1.19424,1.0837278,2.9158783,3.7368379,3.8730664,4.036736,4.1854572,4.658587,1.6402223,1355.4564,2223.25,3049.375,1968.375,1106.375,528.625,271.625,141.875,74,33.125,2507.625,1266.875,414.5,136.625,60.625,19.25,4.5,0.625
O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,1479.0254,918.01245,547.62683,1003.0965,475.92886,18064.648,10776.748,370.38565,7287.9009,1.0641661,2.1902063,405.39334,54.906502,90.755363,102.26199,4.7131801,-134.97218,0,68.722931,193.26724,174.78873,11.506622,0.62068743,0.37026197,0.67821455,0.32178548,12.213887,7.2863851,0.05397385,0.13572621,0.96427733,95704.195,12370.996,87890.695,91146.703,9.1614599,9.2259245,2.7580135,2.1433918,1071.5,1162.8145,9.5915813,0.02823337,2.471653,2.1124532,1.3771708,0.817204,0.47502309,0.23173103,0.11580265,0.060626984,1730.375,1018.125,761.875,632.375,533,413.375,273.75,144,0.5,1.118034,1.5811388,6.8373971,6.5192022,0.5,-2.4541464,-2.4353461,-2.4321182,-10.075171,-9.8784389,-9.6601677,1.6471859,678.875,887.375,809.5,432.875,212.75,97.25,51,25,0.33470058,0.17691243,4.8795395,5.1525106,5.5991564,6.2925329,7.1708875,7.2422447,6.9996691,6.4151082,0.87717229,1.2077339,3.0180478,3.8258779,4.0134134,4.0204234,4.0648861,3.9749718,1.6416786,1362.249,2236.375,3194,2097.75,1164.875,538.625,255,111.875,52.875,25.125,2515.125,1210.375,355.375,105.75,42.25,14.625,1.875,0.125
O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,1491.4087,935.34747,540.35809,980.42188,510.98685,18404.832,10633.166,394.98938,7771.6655,1.0645387,2.0727708,343.08142,44.007298,65.662544,67.797325,2.1366756,-148.66992,0,63.757088,149.1808,165.38304,2.1347833,0.62715703,0.36231387,0.65737975,0.34262025,12.340569,7.1296124,0.029972354,0.1467023,0.90480953,95368.672,13639.506,84123.797,92974.039,9.1453867,9.1959734,3.2766783,1.5920552,1071.125,1166.8485,10.078301,0.029347045,2.4472797,2.0847046,1.3629177,0.79770869,0.47099361,0.24903606,0.11356186,0.05042877,1755.25,1035,763.125,639,544.875,417.625,277.875,136.25,0.5,0.5,0.70710677,0.70710677,0.5,0.5,-2.6272967,-2.5891345,-2.5832138,-10.739923,-10.024222,-9.9570837,1.6656578,643.375,882,839.125,441.625,220.5,106.625,45.5,18.75,0.33284193,0.18701096,5.1107707,5.4264688,5.9016519,6.507453,7.1616406,6.9826021,6.9294863,7.0765243,1.0130136,1.1790086,3.0865901,4.0229602,4.2596111,4.1515989,3.8727875,3.7843635,1.626793,1383.1661,2250.125,3164,2049.75,1147.875,527.25,254,119.5,49.75,21,2520.625,1167.75,308.75,85.625,33.5,12.875,4.25,2.25
O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,1492.2023,945.4353,529.83606,912.83667,579.3656,18605.221,10426.114,415.59924,8179.1074,1.0704098,4.873312,380.30234,39.699883,100.92293,108.51656,1.2820488,-126.36715,0,60.668583,173.86259,170.13525,7.5936394,0.6335839,0.35506988,0.61173791,0.38826209,12.468297,6.9870648,0.032114279,0.13971408,0.91743052,91193.422,12387.078,81339.57,88660.203,8.9429531,8.8475351,3.1536524,1.5855187,1065.25,1181.8281,8.4861727,0.027186969,2.4047158,2.0512431,1.3859991,0.8512671,0.50106233,0.25207046,0.11763652,0.056973796,1686.125,997.5,749.125,617.625,523.75,413.5,260.125,135.375,2.5,2.1213202,0.5,2.236068,6.7082038,5.4772258,-2.8758988,-2.77175,-2.7000511,-9.3574123,-9.201335,-9.0288954,1.6767967,626,795.625,753,417.5,212.75,102.25,50.875,24.375,0.36609378,0.19732848,4.3057556,4.4934707,4.9353242,5.6272812,6.3386273,6.875308,6.3780246,5.9737186,0.47737348,1.4371474,3.0467038,3.5684123,3.5727737,3.9773736,4.5738335,5.4479709,1.6184663,1396.6926,2260.5,3159.375,2080.875,1203,571.5,274.25,121.875,53.125,24.375,2533.375,1285.25,450,154,61.5,19.625,2.25,0
O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,1473.7247,924.19562,535.79578,955.26215,518.46259,18185.396,10543.39,388.39981,7642.0073,1.0671539,2.7794914,365.02255,43.584827,90.776634,91.002388,2.9210601,-137.47984,0,63.716766,182.54445,163.7975,0.22575474,0.62711549,0.36356571,0.6481958,0.35180423,12.339751,7.1542459,0.033629097,0.10251839,0.95690811,95515.906,9509.5762,88762.523,92759.711,9.1524429,9.3505058,2.5957654,1.714718,1068.5,1162.3783,10.070912,0.027774569,2.4343293,2.0877171,1.391234,0.81980956,0.47243989,0.24181882,0.11334707,0.053986706,1674.625,997.125,737.75,607.125,515.5,395,258.375,129,0.5,0.70710677,1.118034,0.5,2.5,2.1213202,-2.4702351,-2.3963737,-2.385273,-9.759366,-9.6991663,-9.4605179,1.6494675,662.375,923.75,845.5,438.5,215.25,102.25,49.75,21.375,0.33835989,0.18550545,5.3088188,5.5888209,6.0672665,6.7594018,7.5297861,7.9461064,8.0343733,8.5303621,1.0012494,1.0817941,3.0456302,3.9276354,4.0231633,3.7256775,3.1263363,3.2203348,1.6414517,1367.5394,2244.75,3105.375,2036.5,1150.75,527,249.625,112.625,50.75,21.375,2443,1112.75,305.25,88.5,34.375,10.375,1,0
O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,1464.9189,946.23395,505.89792,997.0683,467.85059,18620.938,9955.0586,440.33606,8665.8789,1.0605781,1.7975577,351.94217,46.418846,74.2388,80.873383,2.37409,-149.10081,0,63.54353,167.59811,158.73233,6.634582,0.64592922,0.34534192,0.68063039,0.31936961,12.711242,6.7956381,0.039316643,0.13720526,0.93493217,89274.211,11822.47,80559.648,86166.305,8.8483486,8.902173,2.9455016,1.7651607,1075.125,1165.0171,8.5848618,0.03240237,2.4433033,2.0666053,1.3274603,0.74727869,0.43475902,0.24174622,0.13522553,0.081542507,1828.75,1076,794.875,659.25,556.875,432.875,276,144.375,1.2247449,0.5,0.86602539,0.5,0.5,0.70710677,-2.6420856,-2.5453291,-2.5426033,-12.275555,-11.828665,-11.217746,1.6549577,621.375,785.625,699.375,372.875,189.125,106.625,60.25,37.375,0.30570844,0.19302237,3.9176743,4.2441092,4.6850266,5.2172785,5.8424993,5.876092,5.680481,5.6647291,0.63237947,1.1951095,2.9170439,3.6785042,3.9184742,4.076623,4.4129553,4.6093678,1.6306441,1363.1117,2222.75,3112.75,1968,1072.25,493.75,243,127.25,66.5,39.25,2491.375,1182.375,372.875,120.875,53.875,20.625,6.25,1.875
O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,1487.4059,950.61395,520.79553,967.68439,519.7215,18706.182,10248.735,429.81839,8457.4453,1.0621835,2.6814601,381.14127,45.749416,91.748947,98.458504,2.4720356,-95.686295,0,63.345039,196.47656,171.11627,6.7095571,0.63910866,0.35013682,0.65058529,0.34941471,12.57638,6.8903422,0.032422472,0.13355564,0.9220506,97698.57,12695.228,87646.188,95055.719,9.2564249,9.2147236,3.1537576,1.6592253,1073.5,1168.6233,11.829404,0.029393712,2.4439979,2.068105,1.3966861,0.84284091,0.48278755,0.23358706,0.099311985,0.051628049,1712.375,1005.375,741,613.5,509.625,389,247.125,128.375,3.9370039,0.5,4.3874822,0.5,0.5,1,-2.2782059,-2.2717745,-2.2682459,-10.561684,-10.025676,-9.8306112,1.659705,618.25,899.875,816.5,417.375,197.875,84.125,39,19.5,0.344973,0.1797066,5.8004165,6.3137517,6.7275987,7.4237485,8.2419682,8.6057482,8.3393068,8.5415602,1.0758871,1.2029926,3.2923775,4.5038252,5.1241746,5.6431141,5.4830818,5.6388717,1.6285058,1371.2723,2233.125,3129.875,2054.625,1164.875,542.875,255.625,110.25,47.125,21.5,2511.625,1154.75,348.375,125.5,57.75,26.125,8.125,2
O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,1444.4076,880.69348,548.84906,932.59467,511.81299,17330.287,10800.801,331.84442,6529.4854,1.0639179,1.7513769,417.35474,36.163822,107.64868,108.01234,2.9788148,-109.5438,0,62.588261,204.18326,207.61148,0.36366421,0.60972643,0.37998211,0.64565891,0.35434109,11.998196,7.4776678,0.051931303,0.1507,0.93531221,86894.328,12555.032,77922.195,83311.43,8.7296114,8.5855484,3.0338111,1.9565127,1071.75,1173.061,8.0704002,0.029694332,2.4411013,2.0465996,1.3383155,0.81472683,0.50424492,0.26848549,0.11434804,0.04204971,1673.25,986.25,735.625,623.375,529.625,417.5,263.625,134,11.715375,0.5,11.224972,0.5,0.5,0.70710677,-2.5595276,-2.5176957,-2.5086472,-11.618527,-11.037109,-10.881699,1.6214377,624.75,878.25,829.125,459.625,236.125,109.375,46.875,16.5,0.35921836,0.18828955,4.3922677,4.6553421,4.9183364,5.4404635,6.0759068,6.5725718,6.5976028,6.689075,0.86632222,0.84739554,2.4250031,2.9577017,3.1633055,3.0689299,2.8918998,2.9254105,1.6701064,1344.7496,2245.875,3067.25,1988.625,1118.25,535.75,264.25,117.375,47.625,16.5,2442.5,1110.375,289.125,76.125,28.125,8,0.75,0
O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,1426.8771,901.14703,510.09503,893.08643,533.79065,17732.771,10038.16,391.05203,7694.6113,1.065907,4.5178638,357.51498,44.461945,83.765594,85.844933,2.546257,-136.60803,0,64.453979,176.1451,160.20787,2.0793388,0.63155198,0.35749051,0.62590283,0.37409714,12.42768,7.0350556,0.039947819,0.14051734,0.93626064,88198.648,11935.257,79524.078,84937.969,8.7948847,8.7918463,2.9832904,1.7572218,1069.75,1162.6276,9.880024,0.030274067,2.4467723,2.1090887,1.3863736,0.83050853,0.49183902,0.26311743,0.12478445,0.072324872,1640.125,978.625,724.375,601.25,506.875,397.75,275,149.625,0.5,10.049875,10.161201,0.70710677,0.5,0.86602539,-3.0272155,-2.9769456,-2.9497485,-11.186232,-10.737008,-10.69523,1.6146022,601.5,832.25,751.625,414.25,209.75,108.5,56.25,31.5,0.36427954,0.21538462,5.3046923,5.643775,6.0095549,6.6515217,7.3433628,7.2201376,7.0196481,6.7949104,1.2618279,0.74962974,2.6813519,3.6130321,3.9259295,4.0717678,4.5028715,4.5049543,1.6709931,1329.2245,2221.125,3048.625,2014.125,1127,535.75,263.875,129.5,60.75,31.75,2447.125,1181.875,375.375,121.5,54.125,21,4.5,0.25
O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,O=C(N[C@@]1C(=O)N[C@@]([C@](O)C)C(=O)N2[C@](C(=O)N[C@@]([C@](O)[C@@](O)c3ccc(O)cc3)C(=O)N[C@@]([C@](O)C)C(=O)N3[C@](C(=O)N[C@](O)[C@](O)C1)[C@@](O)[C@@](C)C3)C[C@@](O)C2)c1ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1,1423.6165,916.9964,490.82996,961.08533,462.53107,18044.654,9658.5518,426.16644,8386.1035,1.0625547,2.5080285,358.04562,55.086506,65.32148,64.671623,1.9757782,-151.23598,0,65.665901,177.3614,170.64581,-0.64985514,0.64413166,0.34477684,0.67510134,0.32489866,12.675223,6.7845187,0.033714518,0.12212443,0.93237656,88849.523,10562.854,80643.633,86492.563,8.8272772,8.7893162,2.909117,1.6138515,1073.125,1154.6477,9.0303335,0.031127146,2.4270709,2.0866344,1.3408427,0.7941469,0.47052199,0.21737933,0.094494931,0.033496741,1672.75,985.375,734.375,609,518.25,415.75,265.75,131.25,11.247222,0.70710677,11.022704,0.5,0.86602539,1.2247449,-2.4253833,-2.3915598,-2.368562,-9.3044653,-8.5205736,-8.2860346,1.6191568,614.75,807.75,767.375,412.75,199.5,85.375,35,12.75,0.31506383,0.15722495,4.4507685,4.7184997,5.1931686,5.8568859,6.673851,7.1469097,6.7377615,6.8623905,0.88644886,1.0990708,2.7882121,3.5899677,3.8699203,4.192328,4.5241036,4.5336614,1.6650414,1330.9729,2216.125,3020.5,1948.125,1072.375,497.125,231.375,95.75,37.625,13.5,2405.75,1140.375,305,84.375,31.875,10.375,2.625,0.75
