ID,pred,exp
33,-5.672247886657715,-5.480000019073486
40,-5.481121063232422,-6.440000057220459
41,-5.7876973152160645,-7.050000190734863
926,-5.897500038146973,-8.0
927,-5.8554487228393555,-6.400000095367432
1008,-5.350190162658691,-4.699999809265137
1009,-5.438718795776367,-5.690000057220459
1010,-5.3751983642578125,-5.949999809265137
1011,-5.451408863067627,-6.260000228881836
1012,-5.380808353424072,-6.360000133514404
1013,-5.516390323638916,-6.420000076293945
1014,-5.54303503036499,-4.630000114440918
1015,-5.467486381530762,-5.670000076293945
1016,-5.491605758666992,-4.789999961853027
1885,-6.3600077629089355,-6.079999923706055
1886,-6.568129539489746,-5.800000190734863
1887,-5.993403911590576,-6.239999771118164
1888,-6.004608154296875,-6.960000038146973
1889,-5.672824382781982,-8.0
1890,-5.80531644821167,-6.179999828338623
1892,-5.691700458526611,-5.980000019073486
1893,-5.656737804412842,-6.239999771118164
1894,-5.716731071472168,-5.71999979019165
1896,-6.786461353302002,-5.360000133514404
1897,-7.137076377868652,-5.590000152587891
1898,-6.240422248840332,-5.630000114440918
1899,-5.860020637512207,-5.409999847412109
1900,-5.928820610046387,-5.340000152587891
1901,-5.90777587890625,-5.420000076293945
1902,-5.895023822784424,-5.400000095367432
1903,-5.932021141052246,-5.579999923706055
1904,-4.828323841094971,-6.820000171661377
1905,-4.834682941436768,-7.150000095367432
1906,-4.744661331176758,-6.920000076293945
1907,-4.755748271942139,-6.849999904632568
1908,-4.840775012969971,-7.139999866485596
1909,-5.430099964141846,-7.0
1910,-4.648502349853516,-6.920000076293945
1911,-4.583308696746826,-6.920000076293945
1912,-4.620959281921387,-7.679999828338623
1913,-5.239970684051514,-8.0
1914,-6.122495174407959,-8.0
1915,-6.1555495262146,-7.03000020980835
1916,-4.912102699279785,-6.889999866485596
1917,-4.95481014251709,-7.0
1918,-5.668237209320068,-6.820000171661377
1919,-5.041018486022949,-7.21999979019165
1920,-5.391199588775635,-7.050000190734863
1921,-5.584624290466309,-7.21999979019165
1922,-5.881653308868408,-7.0
1923,-5.533554553985596,-6.849999904632568
1924,-4.9865193367004395,-6.769999980926514
1925,-4.617305278778076,-6.960000038146973
1926,-4.688175678253174,-6.889999866485596
1927,-4.552863121032715,-5.960000038146973
1928,-4.582979202270508,-7.03000020980835
1929,-4.616063117980957,-7.599999904632568
1930,-4.619749546051025,-6.550000190734863
1931,-4.517117023468018,-6.440000057220459
1932,-4.8407135009765625,-6.769999980926514
1933,-4.506236553192139,-6.059999942779541
1934,-4.602014064788818,-8.0
1935,-5.004026889801025,-6.539999961853027
1936,-4.878718376159668,-6.800000190734863
1937,-5.52919340133667,-6.960000038146973
1939,-4.5926055908203125,-6.769999980926514
1940,-5.308807849884033,-6.659999847412109
1941,-5.141759872436523,-6.849999904632568
1942,-5.153786659240723,-6.25
1943,-4.632602691650391,-6.699999809265137
1944,-4.830480575561523,-6.800000190734863
1945,-4.857439041137695,-6.639999866485596
1946,-5.171009540557861,-6.0
1947,-4.504335880279541,-6.340000152587891
1948,-4.577951431274414,-6.360000133514404
1949,-5.116450786590576,-6.489999771118164
1950,-5.165390491485596,-6.349999904632568
1951,-5.018056869506836,-6.380000114440918
1952,-5.385180473327637,-6.889999866485596
1953,-4.915536403656006,-6.769999980926514
1954,-5.265005111694336,-6.800000190734863
1955,-4.970367431640625,-5.960000038146973
1956,-4.81726598739624,-5.960000038146973
1957,-5.0946125984191895,-5.510000228881836
1958,-5.309712886810303,-5.639999866485596
1959,-4.8410444259643555,-5.590000152587891
1960,-5.144877910614014,-5.889999866485596
1961,-5.073992729187012,-5.800000190734863
1962,-5.158913612365723,-5.659999847412109
1963,-4.7454681396484375,-5.590000152587891
1964,-5.3677897453308105,-5.71999979019165
