ID,pred,exp
1107,-4.686291694641113,-4.610000133514404
1109,-6.695883274078369,-6.119999885559082
1110,-4.9128618240356445,-4.730000019073486
1112,-7.067210674285889,-6.170000076293945
1113,-4.994290828704834,-5.820000171661377
1117,-5.13929557800293,-5.650000095367432
1118,-4.75614070892334,-5.349999904632568
1120,-5.306146621704102,-6.300000190734863
1121,-5.349186420440674,-6.199999809265137
1840,-5.638712406158447,-4.480000019073486
1841,-5.631606578826904,-4.409999847412109
1842,-5.707961082458496,-4.400000095367432
1843,-5.672458171844482,-4.400000095367432
1844,-5.64700984954834,-5.099999904632568
1845,-5.628984451293945,-4.960000038146973
1846,-5.701116561889648,-4.820000171661377
1847,-5.653838157653809,-4.739999771118164
