ID,pred,exp
24,-6.241794109344482,-6.300000190734863
26,-5.446352958679199,-5.389999866485596
27,-6.004553318023682,-5.460000038146973
28,-6.019047260284424,-5.210000038146973
29,-6.10598611831665,-5.71999979019165
31,-5.570934772491455,-6.119999885559082
33,-5.894226312637329,-5.644999980926514
34,-5.440779685974121,-5.329999923706055
35,-5.451577663421631,-5.489999771118164
37,-5.320815563201904,-5.889999866485596
38,-6.028786659240723,-5.239999771118164
39,-5.981935024261475,-6.659999847412109
40,-5.567039728164673,-6.390000104904175
41,-5.738816738128662,-6.805000066757202
42,-5.355432033538818,-6.630000114440918
44,-5.158754825592041,-6.150000095367432
45,-6.050346851348877,-5.840000152587891
46,-5.5441203117370605,-5.920000076293945
47,-5.3902058601379395,-6.199999809265137
928,-5.363903522491455,-6.21999979019165
1032,-5.529975414276123,-5.260000228881836
1033,-5.190647125244141,-5.130000114440918
1034,-5.442468166351318,-5.510000228881836
1035,-5.4069695472717285,-5.199999809265137
1036,-5.429908275604248,-5.599999904632568
1037,-5.350409984588623,-5.139999866485596
1038,-5.33153772354126,-5.440000057220459
1039,-6.482791900634766,-5.539999961853027
1040,-5.406388282775879,-6.400000095367432
1041,-5.1399760246276855,-4.739999771118164
1042,-5.878929138183594,-6.0
1043,-5.759852886199951,-5.090000152587891
1044,-5.6661458015441895,-5.039999961853027
1848,-5.988050937652588,-6.050000190734863
1849,-5.939782619476318,-5.920000076293945
1850,-5.727348327636719,-5.739999771118164
1851,-5.6233391761779785,-6.150000095367432
1852,-6.004523277282715,-5.320000171661377
1853,-6.355419635772705,-5.400000095367432
1854,-5.993438243865967,-5.179999828338623
1855,-5.786550521850586,-5.28000020980835
1856,-6.182458400726318,-5.119999885559082
1857,-5.990334987640381,-5.420000076293945
1858,-5.967523097991943,-5.079999923706055
1859,-5.6533308029174805,-5.210000038146973
1860,-7.396122932434082,-5.570000171661377
1861,-6.5333428382873535,-5.400000095367432
